cod_ibge;ano;sexo;total;qt_0_4;qt_5_9;qt_10_11;qt_12_14;qt_15_17;qt_18_19;qt_20_24;qt_25_29;qt_30_34;qt_35_39;qt_40_44;qt_45_49;qt_50_54;qt_55_59;qt_60_64;qt_65_69;qt_70_74;qt_75_79;qt_80_ou_mais
4200051;2010;Masculino;1408.0;86.0;111.0;45.0;69.0;81.0;51.0;93.0;94.0;90.0;86.0;114.0;105.0;94.0;93.0;62.0;66.0;31.0;22.0;15.0
4200051;2010;Feminino;1289.0;90.0;83.0;42.0;66.0;66.0;43.0;101.0;86.0;78.0;94.0;101.0;79.0;89.0;87.0;73.0;44.0;29.0;17.0;21.0
4200101;2010;Masculino;8776.0;692.0;858.0;398.0;604.0;510.0;309.0;688.0;684.0;623.0;588.0;601.0;557.0;471.0;393.0;299.0;217.0;138.0;83.0;63.0
4200101;2010;Feminino;8610.0;689.0;775.0;361.0;555.0;498.0;310.0;705.0;689.0;660.0;605.0;579.0;538.0;450.0;364.0;305.0;196.0;138.0;95.0;98.0
4200200;2010;Masculino;4779.0;386.0;342.0;146.0;232.0;262.0;176.0;403.0;427.0;387.0;344.0;368.0;325.0;268.0;201.0;162.0;145.0;88.0;73.0;44.0
4200200;2010;Feminino;4700.0;340.0;331.0;146.0;230.0;234.0;159.0;421.0;426.0;372.0;380.0;335.0;274.0;238.0;211.0;191.0;153.0;106.0;72.0;81.0
4200309;2010;Masculino;2487.0;182.0;185.0;88.0;138.0;132.0;86.0;205.0;190.0;175.0;204.0;185.0;189.0;157.0;110.0;96.0;64.0;45.0;23.0;33.0
4200309;2010;Feminino;2387.0;167.0;165.0;77.0;123.0;137.0;90.0;204.0;191.0;179.0;172.0;149.0;208.0;107.0;130.0;95.0;70.0;41.0;48.0;34.0
4200408;2010;Masculino;3617.0;294.0;306.0;142.0;222.0;206.0;127.0;252.0;272.0;257.0;243.0;258.0;243.0;209.0;158.0;128.0;111.0;89.0;49.0;51.0
4200408;2010;Feminino;3461.0;235.0;300.0;131.0;202.0;192.0;121.0;266.0;252.0;242.0;238.0;232.0;227.0;200.0;163.0;128.0;121.0;82.0;67.0;62.0
